GPU Providers,Primary GPU Instance,Instance Security,B200 /GPU/Hr,H200 /GPU/Hr,H100_SXM5 /GPU/Hr,H100_PCIe /GPU/Hr,A100_80GB /GPU/Hr,L40 /GPU/Hr,RTX_PRO-A6000_SE /GPU/Hr
RunPod,Container,P2P+Secure Cloud,$6.39,$4.00,$3.00,$2.20,$1.70,$1.00,$---
Lambda Labs,VM,Secured Datacenter,$---,$---,$3.30,$2.50,$1.80,$---,$---
Vultr,VM,Secured Datacenter,$---,$---,$3.00,$2.89,$2.38,$1.67,$---
Vast AI,Container,Peer-to-Peer Community,$---,$3.06,$1.87,$---,$0.87,$0.65,$---
Jarvis Labs,Container,Secured On-Prem,$---,$3.80,$3.00,$---,$---,$---,$---
Paperspace,VM,Secured Datacenter,$---,$---,$5.95,$---,$3.18,$---,$---
CoreWeave,VM,Secured Datacenter,$8.60,$6.30,$6.16,$---,$2.70,$1.25,$---
Dataoorts,VM,Secured Datacenter,$4.66,$2.90,$1.98,$1.58,$1.12,$0.82,$1.64
